epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318907.727,1,0.3693,0.3693,115417088,0.2150
1789318908.762,2,0.8707,0.8707,122687488,0.2285
1789318909.805,3,0.6512,0.6512,126251008,0.2352
1789318910.839,4,0.7448,0.7448,126132224,0.2349
1789318911.927,5,0.6413,0.6413,125857792,0.2344
1789318912.961,6,0.6463,0.6463,128561152,0.2395
1789318914.003,7,0.6136,0.6136,128503808,0.2394
1789318915.056,8,0.8222,0.8222,128851968,0.2400
1789318916.085,9,0.6752,0.6752,130428928,0.2429
1789318917.121,10,0.7270,0.7270,130449408,0.2430
1789318918.149,11,0.4597,0.4597,130539520,0.2431
1789318919.194,12,0.6014,0.6014,130281472,0.2427
1789318920.229,13,0.7920,0.7920,131399680,0.2448
1789318921.257,14,0.8002,0.8002,131375104,0.2447
1789318922.329,15,0.7924,0.7924,132296704,0.2464
1789318923.413,16,0.7761,0.7761,133238784,0.2482
1789318924.517,17,0.7715,0.7715,131792896,0.2455
1789318925.554,18,0.9047,0.9047,132354048,0.2465
1789318926.617,19,0.5331,0.5331,132399104,0.2466
1789318927.663,20,0.8304,0.8304,131891200,0.2457
1789318928.709,21,0.7559,0.7559,132362240,0.2465
1789318929.801,22,0.9655,0.9655,134082560,0.2497
1789318930.827,23,0.7554,0.7554,135524352,0.2524
1789318931.865,24,0.5929,0.5929,135487488,0.2524
1789318932.909,25,0.7748,0.7748,134184960,0.2499
1789318933.937,26,0.8542,0.8542,135901184,0.2531
1789318934.973,27,0.7179,0.7179,135819264,0.2530
1789318936.015,28,0.7495,0.7495,138457088,0.2579
1789318937.114,29,0.4333,0.4333,137256960,0.2557
1789318938.157,30,0.9121,0.9121,138207232,0.2574
1789318939.229,31,0.7413,0.7413,137515008,0.2561
1789318940.269,32,0.6859,0.6859,138223616,0.2575
1789318941.314,33,0.6950,0.6950,138153984,0.2573
1789318942.402,34,0.7994,0.7994,138240000,0.2575
1789318943.431,35,0.6952,0.6952,138190848,0.2574
1789318944.466,36,0.5391,0.5391,138551296,0.2581
1789318945.501,37,0.6983,0.6983,138387456,0.2578
1789318946.530,38,0.6967,0.6967,139116544,0.2591
1789318947.617,39,0.6647,0.6647,139735040,0.2603
1789318948.717,40,0.7676,0.7676,139116544,0.2591
1789318949.805,41,0.9065,0.9065,139530240,0.2599
1789318950.849,42,0.3694,0.3694,138592256,0.2581
1789318951.901,43,0.9113,0.9113,139603968,0.2600
1789318952.925,44,0.6112,0.6112,141123584,0.2629
1789318954.013,45,0.7120,0.7120,139960320,0.2607
1789318955.035,46,0.6392,0.6392,140083200,0.2609
1789318956.058,47,0.4949,0.4949,140034048,0.2608
1789318957.097,48,0.7641,0.7641,140500992,0.2617
1789318958.129,49,0.8695,0.8695,141815808,0.2642
1789318959.199,50,0.6147,0.6147,142987264,0.2663
1789318960.227,51,0.5785,0.5785,142360576,0.2652
1789318961.262,52,0.7466,0.7466,142745600,0.2659
1789318962.302,53,0.9018,0.9018,142827520,0.2660
1789318963.330,54,0.7147,0.7147,142659584,0.2657
1789318964.353,55,0.6923,0.6923,142819328,0.2660
1789318965.382,56,0.6439,0.6439,143122432,0.2666
1789318966.414,57,0.5039,0.5039,143069184,0.2665
1789318967.438,58,0.6411,0.6411,143396864,0.2671
1789318968.475,59,0.0564,0.0564,143138816,0.2666
1789318969.506,60,0.0482,0.0482,143187968,0.2667
1789318970.537,61,0.0576,0.0576,142942208,0.2663
1789318971.585,62,0.0660,0.0660,143663104,0.2676
1789318972.633,63,0.0681,0.0681,143171584,0.2667
1789318973.669,64,0.0461,0.0461,142680064,0.2658
1789318974.720,65,0.0560,0.0560,142471168,0.2654
1789318975.753,66,0.0525,0.0525,143368192,0.2670
1789318976.789,67,0.0465,0.0465,143323136,0.2670
1789318977.826,68,0.0490,0.0490,143020032,0.2664
1789318978.853,69,0.0421,0.0421,143527936,0.2673
1789318979.905,70,0.0912,0.0912,143093760,0.2665
1789318980.945,71,0.0524,0.0524,142888960,0.2662
1789318981.993,72,0.0593,0.0593,143003648,0.2664
1789318983.029,73,0.0433,0.0433,143093760,0.2665
1789318984.053,74,0.0622,0.0622,142864384,0.2661
1789318985.096,75,0.0579,0.0579,143355904,0.2670
1789318986.133,76,0.0513,0.0513,142950400,0.2663
1789318987.169,77,0.0448,0.0448,142671872,0.2657
1789318988.217,78,0.0752,0.0752,143069184,0.2665
1789318989.257,79,0.0443,0.0443,142503936,0.2654
1789318990.297,80,0.0549,0.0549,144089088,0.2684
