epoch,second,cpu_fraction,cpu_cores_used,memory_bytes,memory_fraction
1789318702.183,1,0.3799,0.3799,112697344,0.2099
1789318703.226,2,0.6613,0.6613,116469760,0.2169
1789318704.284,3,0.8152,0.8152,122417152,0.2280
1789318705.326,4,0.7139,0.7139,124411904,0.2317
1789318706.375,5,0.7979,0.7979,125526016,0.2338
1789318707.407,6,0.6253,0.6253,126562304,0.2357
1789318708.439,7,0.7014,0.7014,131334144,0.2446
1789318709.471,8,0.4347,0.4347,129454080,0.2411
1789318710.503,9,0.6248,0.6248,141377536,0.2633
1789318711.534,10,0.7747,0.7747,145489920,0.2710
1789318712.611,11,0.4477,0.4477,143130624,0.2666
1789318713.648,12,0.4278,0.4278,150581248,0.2805
1789318714.679,13,0.3086,0.3086,151347200,0.2819
1789318715.726,14,0.3580,0.3580,151429120,0.2821
1789318716.761,15,0.2518,0.2518,154804224,0.2883
1789318717.790,16,0.1887,0.1887,161054720,0.3000
1789318718.826,17,0.3896,0.3896,153743360,0.2864
1789318719.871,18,0.4332,0.4332,158302208,0.2949
1789318720.900,19,0.5303,0.5303,152489984,0.2840
1789318721.933,20,0.5270,0.5270,148639744,0.2769
1789318722.975,21,0.5713,0.5713,152797184,0.2846
1789318723.998,22,0.3997,0.3997,158081024,0.2944
1789318725.030,23,0.4565,0.4565,156082176,0.2907
1789318726.059,24,0.6111,0.6111,151928832,0.2830
1789318727.085,25,0.2522,0.2522,152514560,0.2841
1789318728.138,26,0.5486,0.5486,163844096,0.3052
1789318729.215,27,0.3899,0.3899,163528704,0.3046
1789318730.245,28,0.5299,0.5299,166584320,0.3103
1789318731.277,29,0.3567,0.3567,168566784,0.3140
1789318732.307,30,0.4430,0.4430,167333888,0.3117
1789318733.342,31,0.3624,0.3624,159096832,0.2963
1789318734.382,32,0.4539,0.4539,165326848,0.3079
1789318735.411,33,0.4959,0.4959,166252544,0.3097
1789318736.434,34,0.3386,0.3386,170717184,0.3180
1789318737.454,35,0.4430,0.4430,170082304,0.3168
1789318738.487,36,0.3915,0.3915,163930112,0.3053
1789318739.522,37,0.4139,0.4139,167526400,0.3120
1789318740.551,38,0.2766,0.2766,167878656,0.3127
1789318741.585,39,0.2363,0.2363,166637568,0.3104
1789318742.613,40,0.0585,0.0585,156930048,0.2923
1789318743.636,41,0.0666,0.0666,146444288,0.2728
1789318744.678,42,0.0597,0.0597,144801792,0.2697
1789318745.710,43,0.0665,0.0665,144678912,0.2695
1789318746.754,44,0.0476,0.0476,144748544,0.2696
1789318747.783,45,0.0469,0.0469,144265216,0.2687
1789318748.835,46,0.0867,0.0867,144527360,0.2692
1789318749.869,47,0.0496,0.0496,144244736,0.2687
1789318750.916,48,0.0864,0.0864,144654336,0.2694
1789318751.963,49,0.0532,0.0532,144527360,0.2692
1789318753.001,50,0.0583,0.0583,144474112,0.2691
1789318754.043,51,0.0750,0.0750,144695296,0.2695
1789318755.072,52,0.0471,0.0471,144711680,0.2695
1789318756.111,53,0.0534,0.0534,144412672,0.2690
1789318757.147,54,0.0525,0.0525,144576512,0.2693
1789318758.182,55,0.0463,0.0463,144596992,0.2693
1789318759.218,56,0.0550,0.0550,144478208,0.2691
1789318760.250,57,0.0408,0.0408,144257024,0.2687
1789318761.294,58,0.0629,0.0629,144715776,0.2696
1789318762.328,59,0.0521,0.0521,144457728,0.2691
1789318763.370,60,0.0587,0.0587,144457728,0.2691
